STATE,OZONE
AK,26.566666666666666
AL,20.75
AR,32.34
AZ,32.325
CA,28.34777777777778
CO,27.8575
CT,33.16
FL,30.842499999999998
GA,32.905
HI,33.49
ID,29.115000000000002
IL,28.25142857142857
IN,29.256666666666664
KS,31.86
KY,28.837500000000002
LA,21.095
MD,34.56666666666667
ME,33.424
MI,30.18
MN,30.855
MS,20.46
MT,32.79
NC,28.731250000000003
ND,31.16
NE,29.09
NH,31.314999999999998
NJ,30.1
NM,31.17
NV,31.04
NY,28.217777777777776
OH,27.927142857142858
OK,30.39
ON,29.46
PA,26.105555555555554
SD,29.86
TN,29.342000000000002
TX,33.19
UT,29.265
VA,27.6325
VI,30.62
VT,29.85
WA,24.045
WI,31.7
WV,32.69333333333333
WY,29.546666666666667
