SITE_ID,SITE_NUM,SITE_NAME,ACTIVE,INACTIVE,AGENCY,STATE,COUNTY,TIME_ZONE,LATITUDE,LONGITUDE,ELEVATION,MAPID,LAND_USE,TERRAIN,MLM,NADP_ID,NADP_DISTANCE,UPDATE_DATE
ABT147,147,Abington,domp,w,EPA,CT,Windham,EA,41.84046,-72.010368,202,"Hampton, CT",Urban/Agric,Rolling,Mixed,CT15,.056,"2020-01-30 13:25:29"
ACA416,416,"Acadia NP",dom,,NPS,ME,Hancock,EA,44.377086,-68.2608,158,,Forest,Rolling,Mixed,ME98,.013,"2020-01-30 13:25:29"
ALC188,188,"Alabama-Coushatta Tribe of Texas",dom,,EPA,TX,Polk,CE,30.701577,-94.674011,105,,Prairie,Rolling,Yes,TX10,191.334,"2020-01-30 13:25:29"
ALH157,157,Alhambra,domp,w,EPA,IL,Madison,CE,38.869001,-89.622815,164,"Pocohantas, IL",Agric,Flat,Yes,IL46,.08,"2020-01-30 13:25:29"
ALH257,257,"Alhambra Collocated",,domw,EPA,IL,Madison,CE,38.869001,-89.622815,164,,Agric,Flat,Yes,IL46,.08,"2020-01-30 13:25:29"
ALH557,557,"Alhambra Aerosol",,a,EPA,IL,Madison,CE,38.869001,-89.622815,164,"Pocahontas, IL",Agric,Flat,,IL46,.08,"2020-01-30 13:25:29"
ANA115,115,"Ann Arbor",domp,w,EPA,MI,Washtenaw,EA,42.416636,-83.90218,266,"Pinckney, MI",Forest,Flat,Mixed,MI52,.035,"2020-01-30 13:25:29"
ANL146,146,"Argonne NL",,dom,EPA,IL,DuPage,CE,41.7,-87.99,229,"Sag Bridge, IL",Urban/Agric,Rolling,Mixed,IN34,75.493,"2020-01-30 13:25:29"
ARE128,128,Arendtsville,domp,w,EPA,PA,Adams,EA,39.923241,-77.307863,266,"Arendtsville, PA",Agric,Rolling,Mixed,PA00,.017,"2020-01-30 13:25:29"
ARE228,228,"Arendtsville Collocated",,domw,EPA,PA,Adams,EA,39.923241,-77.307863,266,"Arendtsville, PA",Forest,Rolling,Mixed,PA00,.017,"2020-01-30 13:25:29"
ARE528,528,"Arendtsville Aerosol",,ain,EPA,PA,Adams,EA,39.923241,-77.307863,266,"Arendtsville, PA",Agric,Rolling,,PA00,.017,"2020-01-30 13:25:29"
ASH135,135,Ashland,dom,,EPA,ME,Aroostook,EA,46.603832,-68.413227,231,"Squa Pan, ME",Agric,Flat,Yes,ME00,42.343,"2020-01-30 13:25:29"
ASH235,235,"Ashland Collocated",,dom,EPA,ME,Aroostook,EA,46.603832,-68.413227,231,"Squa Pan, ME",Agric,Flat,Yes,ME00,42.343,"2020-01-30 13:25:29"
BAS601,601,Basin,dom,,BLM,WY,"Big Horn",MO,44.28,-108.0411,1242,,Prairie,Rolling,Mixed,MT00,151.068,"2020-01-30 13:25:29"
BBE401,401,"Big Bend NP",dom,,NPS,TX,Brewster,CE,29.302651,-103.177813,1052,,Forest,Complex,Mixed,TX04,.033,"2020-01-30 13:25:29"
BEL116,116,Beltsville,dom,t,EPA,MD,"Prince George's",EA,39.028177,-76.817127,47,"Laurel, MD",Range,Flat,Mixed,MD99,.02,"2020-01-30 13:25:29"
BEL216,216,"Beltsville Collocated",,r,EPA,MD,"Prince George's",EA,39.028177,-76.817127,47,"Laurel, MD",Range,Flat,Mixed,MD99,.02,"2020-01-30 13:25:29"
BFT142,142,Beaufort,domp,w,EPA,NC,Carteret,EA,34.884668,-76.620666,5,,Agric,Flat,Yes,NC06,.008,"2020-01-30 13:25:29"
BUF603,603,Buffalo,dm,,BLM,WY,Johnson,MO,44.1442,-106.1089,1324,,Prairie,Rolling,Mixed,WY99,156.67,"2020-01-30 13:25:29"
BVL130,130,Bondville,domt,,EPA,IL,Champaign,CE,40.051981,-88.372495,213,"Bondville, IL",Agric,Flat,Yes,IL11,.104,"2020-01-30 13:25:29"
BVL530,530,"Bondville Aerosol",,a,EPA,IL,Champaign,CE,40.051981,-88.372495,213,"Bondville, IL",Agric,Flat,,IL11,.104,"2020-01-30 13:25:29"
BWR139,139,"Blackwater NWR",dom,,EPA,MD,Dorchester,EA,38.444971,-76.111274,1,,Forest/Marsh,Coastal,Mixed,MD15,50.673,"2020-01-30 13:25:29"
CAD150,150,"Caddo Valley",dom,,EPA,AR,Clark,CE,34.179278,-93.098755,78,"Caddo Valley, AR",Forest,Complex,No,AR03,.048,"2020-01-30 13:25:29"
CAN407,407,"Canyonlands NP",dom,,NPS,UT,"San Juan",MO,38.458323,-109.82126,1809,,Desert,Complex,Mixed,UT09,.024,"2020-01-30 13:25:29"
CAT175,175,Claryville,dm,o,EPA,NY,Ulster,EA,41.942325,-74.551999,754,,Forest,Complex,No,NY68,6.99,"2020-01-30 13:25:29"
CDR119,119,"Cedar Creek",domp,w,EPA,WV,Gilmer,EA,38.879503,-80.847677,240,"Glenville, WV",Forest,Complex,No,WV05,.013,"2020-01-30 13:25:29"
CDZ171,171,Cadiz,dom,,EPA,KY,Trigg,CE,36.784053,-87.85015,190,"7.5 min. Topo Cadiz, KY",Agric,Rolling,Yes,KY99,19.56,"2020-01-30 13:25:29"
CDZ571,571,"Cadiz Aerosol",,ain,EPA,KY,Trigg,CE,36.784053,-87.85015,190,"7.5 min. Topo Cadiz, KY",Agric,Rolling,,KY99,19.56,"2020-01-30 13:25:29"
CHA267,267,"Chiricahua NM Collocated",,dom,EPA,AZ,Cochise,MOno,32.009405,-109.389058,1569,,Range,Complex,No,AZ98,.036,"2020-01-30 13:25:29"
CHA467,467,"Chiricahua NM",domp,w,NPS,AZ,Cochise,MOno,32.009405,-109.389058,1570,"Bowie Mountain South, AZ",Range,Complex,No,AZ98,.036,"2020-01-30 13:25:29"
CHC432,432,"Chaco Culture NHP",omt,,NPS,NM,"San Juan",MO,36.035,-107.9042,1965,,Desert,Complex,No,CO99,139.315,"2020-01-30 13:25:29"
CHE185,185,"Cherokee Nation",dom,,EPA,OK,Adair,CE,35.750786,-94.669789,305,,Agric,Rolling,Yes,AR27,59.29,"2020-01-30 13:25:29"
CKT136,136,Crockett,dom,,EPA,KY,Morgan,EA,37.92146,-83.066295,376,"Dingus, KY",Agric,Rolling,Mixed,KY35,47.522,"2020-01-30 13:25:29"
CLD303,303,"Clingmans Dome MADPro",,dmc,EPA,TN,Sevier,EA,35.5631,-83.4986,2014,,Forest,Complex,No,TN11,13.986,"2020-01-30 13:25:29"
CND125,125,Candor,dom,w,EPA,NC,Montgomery,EA,35.26333,-79.83754,172,"Biscoe, NC",Forest,Rolling,Mixed,NC36,43.025,"2020-01-30 13:25:29"
CNT169,169,Centennial,dom,,EPA,WY,Albany,MO,41.364531,-106.24002,3175,"Centennial, WY",Forest,Complex,Mixed,WY95,.068,"2020-01-30 13:25:29"
