"SITE_ID","SITE_NUM","SITE_NAME","STATE","COUNTY","LATITUDE","LONGITUDE","UPDATE_DATE"
"JOT403","403.0","Joshua Tree NP","CA","San Bernardino","34.069569","-116.388933","01/30/2020 13:25:29"
"LYK123","123.0","Lykens","OH","Crawford","40.916981","-82.998206","01/30/2020 13:25:29"
"WFM105","105.0","Whiteface Mountain","NY","Essex","44.39","-73.86","01/30/2020 13:25:29"
"HOW191","191.0","Howland Ameriflux","ME","Penobscot","45.203963","-68.740041","01/30/2020 13:25:29"
"NIC001","1.0","Nicks Lake","NY","Herkimer","43.6805","-74.9891","01/30/2020 13:25:29"
"UND002","2.0","Underhill","VT","Chittenden","44.5283","-72.8688","01/30/2020 13:25:29"
"BVL130","130.0","Bondville","IL","Champaign","40.051981","-88.372495","01/30/2020 13:25:29"
"HWF187","187.0","Huntington Wildlife Forest","NY","Essex","43.973044","-74.223317","01/30/2020 13:25:29"
"YOS204","204.0","Yosemite NP Collocated","CA","Mariposa","37.7133","-119.7061","01/30/2020 13:25:29"
"GLR468","468.0","Glacier NP","MT","Flathead","48.510301","-113.996807","01/30/2020 13:25:29"
"GRB411","411.0","Great Basin NP","NV","White Pine","39.005121","-114.215932","01/30/2020 13:25:29"
"GRC474","474.0","Grand Canyon NP","AZ","Coconino","36.058642","-112.183575","01/30/2020 13:25:29"
"GRS420","420.0","Great Smoky NP - Look Rock","TN","Blount","35.633482","-83.941606","01/30/2020 13:25:29"
"GTH161","161.0","Gothic","CO","Gunnison","38.95627","-106.98587","01/30/2020 13:25:29"
"HBR183","183.0","Hubbard Brook Special","NH","Grafton","43.95","-71.7","01/30/2020 13:25:29"
"HOW132","132.0","Howland","ME","Penobscot","45.215607","-68.70851","01/30/2020 13:25:29"
"HOX148","148.0","Hoxeyville","MI","Wexford","44.18089","-85.73898","01/30/2020 13:25:29"
"IRL141","141.0","Indian River Lagoon","FL","Indian River","27.849215","-80.455595","01/30/2020 13:25:29"
"ACA416","416.0","Acadia NP","ME","Hancock","44.377086","-68.2608","01/30/2020 13:25:29"
"SAN189","189.0","Santee Sioux Nation, Nebraska","NE","Knox","42.829154","-97.854128","01/30/2020 13:25:29"
"BEL116","116.0","Beltsville","MD","Prince George's","39.028177","-76.817127","01/30/2020 13:25:29"
"BEL216","216.0","Beltsville Collocated","MD","Prince George's","39.028177","-76.817127","01/30/2020 13:25:29"
"CAN407","407.0","Canyonlands NP","UT","San Juan","38.458323","-109.82126","01/30/2020 13:25:29"
"CAT175","175.0","Claryville","NY","Ulster","41.942325","-74.551999","01/30/2020 13:25:29"
"EVE419","419.0","Everglades NP","FL","Miami-Dade","25.391223","-80.680819","01/30/2020 13:25:29"
"KVA428","428.0","Kobuk Valley NP","AK","","67.0931","-157.8689","01/30/2020 13:25:29"
